variable name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2000sf1,2000sf3
female,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,P012026,
male,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,P012002,
male_white,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,P012A002,
female_white,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,P012A026,
male_black,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,P012B002,
female_black,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,P012B026,
male_aian,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,P012C002,
female_aian,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,P012C026,
male_asian,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,P012D002,
female_asian,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,P012D026,
male_nhopi,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,P012E002,
